RequestID|StartDate|EndDate|AgencyCode|AgencyName|AgencyDivision|TypeOfNoticeCode|TypeOfNoticeDescription|CategoryCode|CategoryDescription|ShortTitle|SelectionMethodCode|SelectionMethodDescription|SectionID|SectionName|SpecialCaseReasonCode|SpecialCaseReasonDescription|PIN|DueDate|AddressToRequest|ContactName|ContactPhone|Email|AddressToSubmit|ContractAmount|RequestedBy|PhoneRequested|ConfirmationNumber|ContactFax|AdditionalDescription|OtherInfo|VendorName|VendorAddress|Printout
20140930007|2014-10-07 00:00:00|2014-10-07 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|CHILD CARE SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06814L0041001N001|||||||1158788|someuser|5511234567|20140930007|||Pursuant to PPB Rule 3-04(b)(iii)|Williamsbridge NAACP Early Childhood Education Center|680 E. 219th Street, Bronx, NY 10467|CHILD CARE SERVICES - Negotiated Acquisition - PIN# 06814L0041001N001 - AMT: $1,158,788.00 - TO: Williamsbridge NAACP Early Childhood Education Center, 680 E. 219th Street, Bronx, NY 10467.  Pursuant to PPB Rule 3-04(b)(iii)
20141118014|2014-11-25 00:00:00|2014-11-25 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|EXTRA ORDINARY NEEDS FOSTER CARE SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06807N0007CNVN005|||||||223504|someuser|5511234567|20141118014|||Pursuant to PPB Rule 3-04(b)(iii)|Woods Services, Inc.|P.O. Box 36, Langhorne, PA 19047|EXTRA ORDINARY NEEDS FOSTER CARE SERVICES - Negotiated Acquisition - PIN# 06807N0007CNVN005 - AMT: $223,504.00 - TO: Woods Services, Inc., P.O. Box 36, Langhorne, PA 19047.  Pursuant to PPB Rule 3-04(b)(iii)
20141028015|2014-11-05 00:00:00|2014-11-05 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|EXTRA ORDINARY NEEDS FOSTER CARE SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06807N0012CNVN004|||||||227516|someuser|5511234567|20141028015|||Pursuant to PPB Rule 3-04(b)(iii)|Ferncliff Manor for the Retarded Inc.|1154 Saw Mill River Road, Yonkers, NY 10710|EXTRA ORDINARY NEEDS FOSTER CARE SERVICES - Negotiated Acquisition - PIN# 06807N0012CNVN004 - AMT: $227,516.00 - TO: Ferncliff Manor for the Retarded Inc., 1154 Saw Mill River Road, Yonkers, NY 10710.  Pursuant to PPB Rule 3-04(b)(iii)
20141113002|2014-11-20 00:00:00|2014-11-20 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|EXTRA ORDINARY NEEDS FOSTER CARE SERVICES|5|Negotiated Acquisition|6|Procurement|5|Other (Describe below in Other Legally Mandated Information)|06809X0036CNVN007|||||||4947172|someuser|5511234567|20141113002|||Pursuant to PPB Rule 3-04(b)(iii)|Hillcrest Educational Centers, Inc.|788 South Street, Pittsfield, MA 01201|EXTRA ORDINARY NEEDS FOSTER CARE SERVICES - Negotiated Acquisition - PIN# 06809X0036CNVN007 - AMT: $4,947,172.00 - TO: Hillcrest Educational Centers, Inc., 788 South Street, Pittsfield, MA 01201.  Pursuant to PPB Rule 3-04(b)(iii)
20141103009|2014-11-12 00:00:00|2014-11-12 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|NON-SECURE DETENTION GROUP HOME|15|Renewal|6|Procurement|||06811N0004001R002|||||||3594834|someuser|5511234567|20141103009||||St. John`s Residence  and  School for Boys|150 Beach 110th Street, Rockaway Park, NY 11694|NON-SECURE DETENTION GROUP HOME - Renewal - PIN# 06811N0004001R002 - AMT: $3,594,834.00 - TO: St. John`s Residence  and  School for Boys, 150 Beach 110th Street, Rockaway Park, NY 11694. 
20141103010|2014-11-12 00:00:00|2014-11-12 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|NON-SECURE DETENTION GROUP HOME|15|Renewal|6|Procurement|||06811N0004008R001|||||||3411810|someuser|5511234567|20141103010||||Episcopal Social Services of New York|305 Seventh Avenue, New York, NY 10001|NON-SECURE DETENTION GROUP HOME - Renewal - PIN# 06811N0004008R001 - AMT: $3,411,810.00 - TO: Episcopal Social Services of New York, 305 Seventh Avenue, New York, NY 10001. 
20141105004|2014-11-13 00:00:00|2014-11-13 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|NON-SECURE DETENTION GROUP HOME|15|Renewal|6|Procurement|||06811N0004007R001|||||||3363522|someuser|5511234567|20141105004||||Episcopal Social Services of New York|305 Seventh Avenue, New York, NY 10001|NON-SECURE DETENTION GROUP HOME - Renewal - PIN# 06811N0004007R001 - AMT: $3,363,522.00 - TO: Episcopal Social Services of New York, 305 Seventh Avenue, New York, NY 10001. 
20141119014|2014-11-26 00:00:00|2014-11-26 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|NON-SECURE DETENTION GROUP HOME|15|Renewal|6|Procurement|||06811N0004004R001|||||||3505776|someuser|5511234567|20141119014||||Boys Town New York Inc.|281 Park Avenue South, NY NY 10010|NON-SECURE DETENTION GROUP HOME - Renewal - PIN# 06811N0004004R001 - AMT: $3,505,776.00 - TO: Boys Town New York Inc., 281 Park Avenue South, NY NY 10010. 
20141119015|2014-11-26 00:00:00|2014-11-26 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|NON-SECURE DETENTION GROUP HOME|15|Renewal|6|Procurement|||06811N0004003R002|||||||3531000|someuser|5511234567|20141119015||||Boys Town New York Inc.|281 Park Avenue South, New York, NY 10010|NON-SECURE DETENTION GROUP HOME - Renewal - PIN# 06811N0004003R002 - AMT: $3,531,000.00 - TO: Boys Town New York Inc., 281 Park Avenue South, New York, NY 10010. 
20141119016|2014-11-26 00:00:00|2014-11-26 00:00:00|068|Administration for Children's Services||2|Award|6|Human Services/Client Services|NON-SECURE DETENTION GROUP HOME|15|Renewal|6|Procurement|||06811N0004005R001|||||||3551520|someuser|5511234567|20141119016||||Boys Town New York Inc.|281 Park Avenue South, New York, NY 10010|NON-SECURE DETENTION GROUP HOME - Renewal - PIN# 06811N0004005R001 - AMT: $3,551,520.00 - TO: Boys Town New York Inc., 281 Park Avenue South, New York, NY 10010. 
