Priority,,Old,Standardized Field (color = completed),Standardized Value (color = completed),Notes,Mapped Field (from existing data Procurement Sample.xlsx),Parsing needed?,Mapped Field (from existing data Non-Procurement Sample.xlsx),Parsing needed?,Source field (proc_Publication_Request.xlsx ),"Action [0=pull, 1=parse, 2=compute, 3=hardcode]",Computation Method/Tools & Frameworks,Responsible,procPublicationRequestDmssPortal.xlsx,Parsing needed?,,,
,Notice Skeleton,,,,,,,,,,,,,,,,,
1.0,,noticeId,noticeId,71352.0,,Procurement Sample.xlsx RequestId,No,RequestId,no,Request Id,0.0,,,,,,,
1.0,,Type of Notice Code,noticeTypeCode,1.0,Type of Solicitation Notice code [RR],Procurement Sample.xlsx: TypeOfNoticeCode,no,TypeOfNoticeCode,no,TypeOfNotice,0.0,,,,,,,
1.0,,Type of Notice,noticeTypeName,Notice,"Public Hearing, Property Dispositions, Court Notices, Rules, Solicitation, Award, Solicitation, Intent to Award [RT]",Procurement Sample.xlsx TypeOfNoticeDescription,no,TypeOfNoticeDescription,,Descr [proc_Type_of_Notice.csv],0.0,,,,,,,
1.0,[??],noticeId,sectionName,Public Hearings and Meetings,Type of Solicitation Notice [RT] [PD]. Can this be substituted by the type of notice field?,Procurement,no,,,SectionName,0.0,,,,,,,
1.0,,Article Title,noticeTitle,420 LEXINGTON AVENUE OFFICE SPACE,,,,,,ShortTitle,0.0,,,,,,,
,,Description,noticeDescription,"Bid documents are available Monday through Friday, 9:00 a.m. to 4:00 p.m., for a $25.00 fee in the form of a money order or certified check made payable to NYCHA.  Documents can also be obtained by registering with I-supplier and downloading documents.",,,,,,AdditionalDescription,0.0,,,,,,,
1.0,,Section Id,Section Id,NUM: 6,,Procurement Sample.xlsx SectionId,no,SectionId,no,NULL,-,,,,,,,
1.0,,Section Name,Section Name,TEXT: Procurement,,Procurement Sample.xlsx SectionName,no,SectionName,no,NULL,-,,,,,,,
1.0,[??],Other Info,otherInfo,The services cannot be timely procured through competitive sealed bidding or competitive sealed proposals. DoITT is utilizing the Negotiated Acquisition Extension procurement source method to provide the services in order to continue to provide uninterrupted service.,Are these only procurement related fields?,Procurement Sample.xlsx OtherInfo,no,null,-,OtherInfo [procPublicationRequestDMSSPortal Oct-Dec 2014.csv],0.0,,,,,,,
1.0,[??],Print Out,printOut,"CITRIX XENAPP ENTERPRISE SOFTWARE SUPPORT SERVICES - Intergovernmental Purchase / Judgment required - PIN# 069141106001 - AMT: $138,375.00 - TO: Citrix Systems, Inc. 851 West Cypress Creek Road, Fort Lauderdale, Fl 33309  Term:  7/1/2013-6/30/2014 - E-PIN:  09613O0019001",Are these only procurement related fields?,Procurement Sample.xlsx Printout,no,null,-,Printout [procPublicationRequestDMSSPortal Oct-Dec 2014.csv],0.0,,,,,,,
,Organization,,identifier,841.0,,,,,,AgencyCode,0.0,,,,,,,
,,,name,Department of Transportation,,,,,,AgencyName,0.0,,,,,,,
,,,classification,Agency,,,,,,[Manually choose agency],3.0,,,,,,,
,,,identifier,141.0,,,,,,AgencyDivisionID,0.0,,,,,,,
,,,parentOrganization,841.0,,,,,,AgencyCode [AgencyDivision.csv],0.0,,,,,,,
,,,name,Traffic and Planning,,,,,,DivisionName [AgencyDivision.csv],0.0,,,,,,,
,,,classification,Agency Division,,,,,,[Manually choose agency division],3.0,,,,,,,
0.0,,Agency Abbreviation,[DCAS] Agency Abbreviation,NCB,,null,-,,,AgencyAbbreviation,0.0,,,,,,,
0.0,[??],[Date / Time Ad was placed],noticeDate,Date / TIME,This needs to be located? How is this different from ad start date?,null,-,,,NULL,0.0,,,,,,,
1.0,,Date Ad start date,noticeStartDate,DATE,,StartDate from Procurement Sample.xlsx,no,StartDate,no,Start Date,0.0,,,,,,,
1.0,,Date Ad end date,noticeEndDate,DATE,,EndDate from Procurement Sample.xlsx,no,EndDate,no,End Date,0.0,,,,,,,
,Notice Skeleton Attributes [Stored in separate tables],,,,,,,,,,,,,,,,,
1.0,Notice Items [M],,noticeItem,"2, 7, 89","Proposal: Extraction of notice items when present. Sometimes there are clear demarcations of items (e.g. ""In the matter of""...), and sometimes there are not. If there are no separate items, the whole noticeDescription is treated as the item.",,,,,NULL,1.0,,,,,,,
1.0,,itemDescription,itemDescription,"#2 IN THE MATTER OF a proposed revocable consent authorizing 140 West Street Condominium to construct, maintain and use a flood mitigation system components in the south sidewalk of Barclay Street, between West and Washington Streets, and in the west sidewalk of Washington Street, between Barclay and Vesey Streets, in the Borough of Manhattan....",,,,,,AdditionalDescription,1.0,,,,,,,
1.0,,Item -  Specification (/Object),ItemObject,a flood mitigation system,"Proposal: [RT] Identifies the details of the item, e.g. a flood mitigation system, a rehabilitation center, etc.  For description, please see https://docs.google.com/document/d/1Jr-1DHzdHP0rH77F_Kl8q5HfvJvWiKrFRQwZgZvD3LE/edit",,,,,NULL,2.0,,,,,,,
1.0,,itemClass,itemAction,Construct/Maintain/Use,"Proposal: [RT] Identifies the class/action of the item, e.g. construction, maintainance. For description, please see https://docs.google.com/document/d/1Jr-1DHzdHP0rH77F_Kl8q5HfvJvWiKrFRQwZgZvD3LE/edit",,,,,NULL,2.0,,,,,,,
